,id,ai,bio12,bio16,bio17,bio4,cmi_max,fgd,hurs_mean,hurs_min,pet_penman_max,pet_penman_mean,pr,rsdsmax_,rsdsmean_,vpd_min
76,genotype_79,0.383317708969116,419.4,243.6,18.9,484.6,56.2,16,49.01,44.26,167.52,94.01,0.0737200006842613,31.952,20.379,507.3
77,genotype_80,0.383317708969116,419.4,243.6,18.9,484.6,56.2,16,49.01,44.26,167.52,94.01,0.0737200006842613,31.952,20.379,507.3
78,genotype_81,0.383317708969116,419.4,243.6,18.9,484.6,56.2,16,49.01,44.26,167.52,94.01,0.0737200006842613,31.952,20.379,507.3
79,genotype_84,0.0983322560787201,121.6,91.3,0.9,298.1,-16.7,136,59.4,57.18,186.82,117.74,0.0032399999909102,31.828,21.687,510.8
80,genotype_85,0.0983322560787201,121.6,91.3,0.9,298.1,-16.7,136,59.4,57.18,186.82,117.74,0.0032399999909102,31.828,21.687,510.8
81,genotype_86,0.0983322560787201,121.6,91.3,0.9,298.1,-16.7,136,59.4,57.18,186.82,117.74,0.0032399999909102,31.828,21.687,510.8
82,genotype_87,0.46813490986824,443.9,216.8,60.7,449.3,41.1,16,49.75,44.49,162.74,105.07,0.296200007200241,31.687,22.43,429.1
83,genotype_88,0.46813490986824,443.9,216.8,60.7,449.3,41.1,16,49.75,44.49,162.74,105.07,0.296200007200241,31.687,22.43,429.1
84,genotype_89,0.46813490986824,443.9,216.8,60.7,449.3,41.1,16,49.75,44.49,162.74,105.07,0.296200007200241,31.687,22.43,429.1
85,genotype_90,0.46813490986824,443.9,216.8,60.7,449.3,41.1,16,49.75,44.49,162.74,105.07,0.296200007200241,31.687,22.43,429.1
86,genotype_91,0.46813490986824,443.9,216.8,60.7,449.3,41.1,16,49.75,44.49,162.74,105.07,0.296200007200241,31.687,22.43,429.1
87,genotype_92,0.46813490986824,443.9,216.8,60.7,449.3,41.1,16,49.75,44.49,162.74,105.07,0.296200007200241,31.687,22.43,429.1
